1,34,2022-11-09 13:23:00
1,19,2022-11-09 13:55:00
1,44,2022-11-09 13:13:00
1,45,2022-11-09 13:44:00
1,50,2022-11-09 13:48:00
1,1,2022-11-09 13:47:00
1,18,2022-11-09 13:10:00
1,26,2022-11-09 13:41:00
1,15,2022-11-09 13:47:00
1,31,2022-11-09 13:03:00
1,16,2022-11-09 13:27:00
1,2,2022-11-09 13:23:00
2,28,2022-11-09 13:36:00
2,39,2022-11-09 13:34:00
2,40,2022-11-09 13:37:00
2,1,2022-11-09 13:30:00
2,50,2022-11-09 13:57:00
2,35,2022-11-09 13:14:00
2,22,2022-11-09 13:33:00
2,45,2022-11-09 13:27:00
2,26,2022-11-09 13:17:00
2,4,2022-11-09 13:44:00
2,33,2022-11-09 13:54:00
2,25,2022-11-09 13:10:00
2,46,2022-11-09 13:19:00
2,15,2022-11-09 13:39:00
2,11,2022-11-09 13:01:00
2,32,2022-11-09 13:18:00
3,11,2022-11-09 13:56:00
3,44,2022-11-09 13:37:00
3,35,2022-11-09 13:08:00
3,1,2022-11-09 13:35:00
3,14,2022-11-09 13:15:00
3,34,2022-11-09 13:39:00
3,17,2022-11-09 13:41:00
3,18,2022-11-09 13:27:00
3,46,2022-11-09 13:03:00
3,16,2022-11-09 13:32:00
3,13,2022-11-09 13:36:00
3,8,2022-11-09 13:59:00
3,49,2022-11-09 13:44:00
3,2,2022-11-09 13:22:00
3,5,2022-11-09 13:37:00
3,27,2022-11-09 13:38:00
3,36,2022-11-09 13:10:00
3,15,2022-11-09 13:14:00
3,45,2022-11-09 13:07:00
3,41,2022-11-09 13:19:00
3,30,2022-11-09 13:24:00
3,25,2022-11-09 13:14:00
3,10,2022-11-09 13:27:00
3,26,2022-11-09 13:33:00
3,9,2022-11-09 13:31:00
3,42,2022-11-09 13:12:00
3,38,2022-11-09 13:02:00
3,39,2022-11-09 13:24:00
3,12,2022-11-09 13:43:00
3,7,2022-11-09 13:23:00
3,20,2022-11-09 13:34:00
3,47,2022-11-09 13:16:00
3,22,2022-11-09 13:57:00
3,43,2022-11-09 13:16:00
3,37,2022-11-09 13:57:00
3,40,2022-11-09 13:16:00
3,24,2022-11-09 13:16:00
3,21,2022-11-09 13:31:00
3,32,2022-11-09 13:31:00
3,31,2022-11-09 13:55:00
3,6,2022-11-09 13:46:00
3,19,2022-11-09 13:38:00
3,29,2022-11-09 13:48:00
3,3,2022-11-09 13:21:00
4,41,2022-11-09 13:00:00
4,28,2022-11-09 13:15:00
4,23,2022-11-09 13:45:00
4,2,2022-11-09 13:29:00
4,20,2022-11-09 13:24:00
5,33,2022-11-09 13:56:00
5,48,2022-11-09 13:22:00
5,29,2022-11-09 13:57:00
5,15,2022-11-09 13:44:00
5,8,2022-11-09 13:16:00
5,16,2022-11-09 13:20:00
5,23,2022-11-09 13:04:00
5,36,2022-11-09 13:27:00
5,50,2022-11-09 13:26:00
5,42,2022-11-09 13:25:00
5,30,2022-11-09 13:16:00
5,10,2022-11-09 13:02:00
5,49,2022-11-09 13:08:00
5,26,2022-11-09 13:24:00
6,12,2022-11-09 13:03:00
6,26,2022-11-09 13:00:00
6,34,2022-11-09 13:46:00
6,4,2022-11-09 13:25:00
6,2,2022-11-09 13:33:00
6,22,2022-11-09 13:05:00
6,45,2022-11-09 13:02:00
6,37,2022-11-09 13:15:00
6,1,2022-11-09 13:42:00
6,24,2022-11-09 13:17:00
6,5,2022-11-09 13:01:00
6,7,2022-11-09 13:15:00
6,43,2022-11-09 13:47:00
6,27,2022-11-09 13:37:00
6,19,2022-11-09 13:03:00
6,20,2022-11-09 13:18:00
